id,value
Firmicutes.Oribacterium.Oribacterium_sp_oral_taxon_078,0.0
Firmicutes.Roseburia.Roseburia_faecis,574251.0
Firmicutes.Roseburia.Roseburia_hominis,23146.0
Firmicutes.Roseburia.Roseburia_intestinalis,20466.0
Firmicutes.Roseburia.Roseburia_inulinivorans,18421.0
Firmicutes.Roseburia.Roseburia_sp_CAG_182,9796.0
Firmicutes.Roseburia.Roseburia_sp_CAG_303,0.0
Firmicutes.Roseburia.Roseburia_sp_CAG_309,0.0
Firmicutes.Roseburia.Roseburia_sp_CAG_471,13.999999999999998
Firmicutes.Sellimonas.Sellimonas_intestinalis,0.0
Firmicutes.Shuttleworthia.Shuttleworthia_satelles,0.0
Firmicutes.Stomatobaculum.Stomatobaculum_longum,0.0
Firmicutes.Oscillibacter.Oscillibacter_sp_57_20,122515.0
Firmicutes.Oscillibacter.Oscillibacter_sp_CAG_241,14539.0
Firmicutes.Oscillibacter.Oscillibacter_sp_PC13,0.0
Firmicutes.Filifactor.Filifactor_alocis,0.0
Firmicutes.Intestinibacter.Intestinibacter_bartlettii,0.0
Firmicutes.Peptoanaerobacter.Eubacterium_yurii,0.0
Firmicutes.Peptoanaerobacter.Peptoanaerobacter_stomatis,0.0
Firmicutes.Peptostreptococcus.Peptostreptococcus_stomatis,0.0
Firmicutes.Romboutsia.Romboutsia_ilealis,0.0
Firmicutes.Agathobaculum.Agathobaculum_butyriciproducens,4688.0
Firmicutes.Anaerofilum.Anaerofilum_sp_An201,0.0
Firmicutes.Anaeromassilibacillus.Anaeromassilibacillus_sp_An250,0.0
Firmicutes.Anaerotruncus.Anaerotruncus_colihominis,0.0
Firmicutes.Anaerotruncus.Anaerotruncus_sp_CAG_528,0.0
Firmicutes.Faecalibacterium.Faecalibacterium_prausnitzii,1166284.0
Firmicutes.Flavonifractor.Flavonifractor_plautii,346.0
Firmicutes.Flavonifractor.Flavonifractor_sp_An100,0.0
Firmicutes.Gemmiger.Gemmiger_formicilis,9656.0
Firmicutes.Harryflintia.Harryflintia_acetispora,0.0
Firmicutes.Pseudoflavonifractor.Pseudoflavonifractor_capillosus,0.0
Firmicutes.Pseudoflavonifractor.Pseudoflavonifractor_sp_An184,0.0
Firmicutes.Ruminococcaceae_unclassified.Clostridium_leptum,0.0
Firmicutes.Ruminococcaceae_unclassified.Eubacterium_siraeum,4292.0
Firmicutes.Ruminococcaceae_unclassified.Ruminococcaceae_bacterium_D16,0.0
Firmicutes.Ruminococcaceae_unclassified.Ruminococcaceae_bacterium_D5,0.0
Firmicutes.Ruminococcus.Ruminococcus_bicirculans,40859.0
Firmicutes.Ruminococcus.Ruminococcus_bromii,0.0
Firmicutes.Ruminococcus.Ruminococcus_callidus,0.0
Firmicutes.Ruminococcus.Ruminococcus_champanellensis,0.0
